group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
,1,Bodø/Glimt,https://img.a.transfermarkt.technology/wappen/big/501.png?lm=4711,0,,,,0:0,0,0,
,2,Feyenoord,https://img.a.transfermarkt.technology/wappen/big/234.png?lm=4711,0,,,,0:0,0,0,
,3,Galatasaray,https://img.a.transfermarkt.technology/wappen/big/141.png?lm=4711,0,,,,0:0,0,0,
,4,Leipzig,https://img.a.transfermarkt.technology/wappen/big/23826.png?lm=4711,0,,,,0:0,0,0,
,5,Liverpool,https://img.a.transfermarkt.technology/wappen/big/31.png?lm=4711,0,,,,0:0,0,0,
,6,Napoli,https://img.a.transfermarkt.technology/wappen/big/6195.png?lm=4711,0,,,,0:0,0,0,
,7,PSG,https://img.a.transfermarkt.technology/wappen/big/583.png?lm=4711,0,,,,0:0,0,0,
,8,Shakhtar D.,https://img.a.transfermarkt.technology/wappen/big/660.png?lm=4711,0,,,,0:0,0,0,
,9,AEK Athens,https://img.a.transfermarkt.technology/wappen/big/2441.png?lm=4711,0,,,,0:0,0,0,
,10,Atlético,https://img.a.transfermarkt.technology/wappen/big/13.png?lm=4711,0,,,,0:0,0,0,
,11,Barcelona,https://img.a.transfermarkt.technology/wappen/big/131.png?lm=4711,0,,,,0:0,0,0,
,12,Fenerbahçe,https://img.a.transfermarkt.technology/wappen/big/36.png?lm=4711,0,,,,0:0,0,0,
,13,PSV,https://img.a.transfermarkt.technology/wappen/big/383.png?lm=4711,0,,,,0:0,0,0,
,14,Sabah FK,https://img.a.transfermarkt.technology/wappen/big/63993.png?lm=4711,0,,,,0:0,0,0,
,15,Sporting,https://img.a.transfermarkt.technology/wappen/big/336.png?lm=4711,0,,,,0:0,0,0,
,16,LASK,https://img.a.transfermarkt.technology/wappen/big/413.png?lm=4711,0,,,,0:0,0,0,
,17,Real Madrid,https://img.a.transfermarkt.technology/wappen/big/418.png?lm=4711,0,,,,0:0,0,0,
,18,Slo. Bratislava,https://img.a.transfermarkt.technology/wappen/big/540.png?lm=4711,0,,,,0:0,0,0,
,19,Viking FK,https://img.a.transfermarkt.technology/wappen/big/239.png?lm=4711,0,,,,0:0,0,0,
,20,Man City,https://img.a.transfermarkt.technology/wappen/big/281.png?lm=4711,0,,,,0:0,0,0,
,21,Porto,https://img.a.transfermarkt.technology/wappen/big/720.png?lm=4711,0,,,,0:0,0,0,
,22,Dortmund,https://img.a.transfermarkt.technology/wappen/big/16.png?lm=4711,0,,,,0:0,0,0,
,23,Lille,https://img.a.transfermarkt.technology/wappen/big/1082.png?lm=4711,0,,,,0:0,0,0,
,24,Slavia Prague,https://img.a.transfermarkt.technology/wappen/big/62.png?lm=4711,0,,,,0:0,0,0,
,25,Inter,https://img.a.transfermarkt.technology/wappen/big/46.png?lm=4711,0,,,,0:0,0,0,
,26,Como,https://img.a.transfermarkt.technology/wappen/big/1047.png?lm=4711,0,,,,0:0,0,0,
,27,Club Brugge,https://img.a.transfermarkt.technology/wappen/big/2282.png?lm=4711,0,,,,0:0,0,0,
,28,Bayern Munich,https://img.a.transfermarkt.technology/wappen/big/27.png?lm=4711,0,,,,0:0,0,0,
,29,Arsenal,https://img.a.transfermarkt.technology/wappen/big/11.png?lm=4711,0,,,,0:0,0,0,
,30,Real Betis,https://img.a.transfermarkt.technology/wappen/big/150.png?lm=4711,0,,,,0:0,0,0,
,31,Lens,https://img.a.transfermarkt.technology/wappen/big/826.png?lm=4711,0,,,,0:0,0,0,
,32,Villarreal,https://img.a.transfermarkt.technology/wappen/big/1050.png?lm=4711,0,,,,0:0,0,0,
,33,Roma,https://img.a.transfermarkt.technology/wappen/big/12.png?lm=4711,0,,,,0:0,0,0,
,34,Aston Villa,https://img.a.transfermarkt.technology/wappen/big/405.png?lm=4711,0,,,,0:0,0,0,
,35,Stuttgart,https://img.a.transfermarkt.technology/wappen/big/79.png?lm=4711,0,,,,0:0,0,0,
,36,Man Utd,https://img.a.transfermarkt.technology/wappen/big/985.png?lm=4711,0,,,,0:0,0,0,
