group,rank,club,logo,played,wins,draws,losses,goals,diff,points,form
Group A,1,Mexico,https://tmssl.akamaized.net//images/flagge/head/110.png?lm=1520611569,1,,,,,2,3,
Group A,2,South Korea,https://tmssl.akamaized.net//images/flagge/head/87.png?lm=1520611569,1,,,,,1,3,
Group A,3,Czechia,https://tmssl.akamaized.net//images/flagge/head/172.png?lm=1520611569,1,,,,,-1,0,
Group A,4,South Africa,https://tmssl.akamaized.net//images/flagge/head/159.png?lm=1520611569,1,,,,,-2,0,
Group B,1,Switzerland,https://tmssl.akamaized.net//images/flagge/head/148.png?lm=1520611569,1,,,,,0,1,
Group B,2,Canada,https://tmssl.akamaized.net//images/flagge/head/80.png?lm=1520611569,1,,,,,0,1,
Group B,2,Qatar,https://tmssl.akamaized.net//images/flagge/head/137.png?lm=1520611569,1,,,,,0,1,
Group B,4,Bosnia-Herzegovina,https://tmssl.akamaized.net//images/flagge/head/24.png?lm=1569523290,1,,,,,0,1,
Group C,1,Scotland,https://tmssl.akamaized.net//images/flagge/head/190.png?lm=1520611569,1,,,,,1,3,
Group C,2,Morocco,https://tmssl.akamaized.net//images/flagge/head/107.png?lm=1520611569,1,,,,,0,1,
Group C,3,Brazil,https://tmssl.akamaized.net//images/flagge/head/26.png?lm=1520611569,1,,,,,0,1,
Group C,4,Haiti,https://tmssl.akamaized.net//images/flagge/head/62.png?lm=1520611569,1,,,,,-1,0,
Group D,1,United States,https://tmssl.akamaized.net//images/flagge/head/184.png?lm=1520611569,1,,,,,3,3,
Group D,2,Australia,https://tmssl.akamaized.net//images/flagge/head/12.png?lm=1520611569,1,,,,,2,3,
Group D,3,Turkiye,https://tmssl.akamaized.net//images/flagge/head/174.png?lm=1520611569,1,,,,,-2,0,
Group D,4,Paraguay,https://tmssl.akamaized.net//images/flagge/head/132.png?lm=1520611569,1,,,,,-3,0,
Group E,1,Germany,https://tmssl.akamaized.net//images/flagge/head/40.png?lm=1520612525,1,,,,,6,3,
Group E,2,Ivory Coast,https://tmssl.akamaized.net//images/flagge/head/38.png?lm=1520611569,1,,,,,1,3,
Group E,3,Ecuador,https://tmssl.akamaized.net//images/flagge/head/44.png?lm=1520611569,1,,,,,-1,0,
Group E,4,Curaçao,https://tmssl.akamaized.net//images/flagge/head/260.png?lm=1520611569,1,,,,,-6,0,
Group F,1,Sweden,https://tmssl.akamaized.net//images/flagge/head/147.png?lm=1520611569,1,,,,,4,3,
Group F,2,Japan,https://tmssl.akamaized.net//images/flagge/head/77.png?lm=1520611569,1,,,,,0,1,
Group F,3,Netherlands,https://tmssl.akamaized.net//images/flagge/head/122.png?lm=1520611569,1,,,,,0,1,
Group F,4,Tunisia,https://tmssl.akamaized.net//images/flagge/head/173.png?lm=1520611569,1,,,,,-4,0,
Group G,1,New Zealand,https://tmssl.akamaized.net//images/flagge/head/120.png?lm=1520611569,1,,,,,0,1,
Group G,2,Iran,https://tmssl.akamaized.net//images/flagge/head/71.png?lm=1520611569,1,,,,,0,1,
Group G,3,Belgium,https://tmssl.akamaized.net//images/flagge/head/19.png?lm=1520611569,1,,,,,0,1,
Group G,3,Egypt,https://tmssl.akamaized.net//images/flagge/head/2.png?lm=1520611569,1,,,,,0,1,
Group H,1,Uruguay,https://tmssl.akamaized.net//images/flagge/head/179.png?lm=1520611569,1,,,,,0,1,
Group H,2,Saudi Arabia,https://tmssl.akamaized.net//images/flagge/head/146.png?lm=1520611569,1,,,,,0,1,
Group H,3,Cape Verde,https://tmssl.akamaized.net//images/flagge/head/32.png?lm=1520611569,1,,,,,0,1,
Group H,3,Spain,https://tmssl.akamaized.net//images/flagge/head/157.png?lm=1520611569,1,,,,,0,1,
Group I,1,Norway,https://tmssl.akamaized.net//images/flagge/head/125.png?lm=1520611569,1,,,,,3,3,
Group I,2,France,https://tmssl.akamaized.net//images/flagge/head/50.png?lm=1520611569,1,,,,,2,3,
Group I,3,Senegal,https://tmssl.akamaized.net//images/flagge/head/149.png?lm=1520611569,1,,,,,-2,0,
Group I,4,Iraq,https://tmssl.akamaized.net//images/flagge/head/70.png?lm=1520611569,1,,,,,-3,0,
Group J,1,Argentina,https://tmssl.akamaized.net//images/flagge/head/9.png?lm=1520611569,1,,,,,3,3,
Group J,2,Austria,https://tmssl.akamaized.net//images/flagge/head/127.png?lm=1520611569,1,,,,,2,3,
Group J,3,Jordan,https://tmssl.akamaized.net//images/flagge/head/78.png?lm=1520611569,1,,,,,-2,0,
Group J,4,Algeria,https://tmssl.akamaized.net//images/flagge/head/4.png?lm=1520611569,1,,,,,-3,0,
Group K,1,Portugal,https://tmssl.akamaized.net//images/flagge/head/136.png?lm=1520611569,1,,,,,0,1,
Group K,1,Democratic Republic of the Congo,https://tmssl.akamaized.net//images/flagge/head/193.png?lm=1520611569,1,,,,,0,1,
Group K,3,Colombia,https://tmssl.akamaized.net//images/flagge/head/83.png?lm=1520611569,0,,,,,0,0,
Group K,3,Uzbekistan,https://tmssl.akamaized.net//images/flagge/head/180.png?lm=1520611569,0,,,,,0,0,
Group L,1,Croatia,https://tmssl.akamaized.net//images/flagge/head/37.png?lm=1520611569,0,,,,,0,0,
Group L,1,England,https://tmssl.akamaized.net//images/flagge/head/189.png?lm=1520611569,0,,,,,0,0,
Group L,1,Panama,https://tmssl.akamaized.net//images/flagge/head/130.png?lm=1520611569,0,,,,,0,0,
Group L,1,Ghana,https://tmssl.akamaized.net//images/flagge/head/54.png?lm=1520611569,0,,,,,0,0,
